data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
24/02/2010;17:44:00;35;com vítima;138,95;BR-116/RJ;Sul;Derrapagem;1;;1;;;;;;;;1;1;1;;
24/02/2010;18:24:00;38;com vítima;143,3;BR-116/RJ;Sul;Colisão traseira;1;;;;1;;;;;;16;3;;;
24/02/2010;18:37:00;39;sem vítima;143,3;BR-116/RJ;Sul;Colisão traseira;1;;1;;;;;;;;2;;;;
25/02/2010;02:48:00;3;com vítima;32,3;BR-116/RJ;Sul;Colisão frontal;1;;1;;;;;;;; ;1;1;;1
25/02/2010;08:41:00;14;sem vítima;142,5;BR-116/RJ;Norte;Colisão traseira;2;;;;;;;;;;2;;;;
25/02/2010;15:27:00;29;com vítima;122,1;BR-116/RJ;Norte;Choque em veículo parado na pista;1;;;1;;;;;;;1;;1;;
25/02/2010;15:31:00;30;sem vítima;123,6;BR-116/RJ;Norte;Choque em defensa;1;;;;;;;;;;1;;;;
25/02/2010;16:22:00;32;sem vítima;114,4;BR-116/RJ;Sul;Choque em barreira New Jersey ;1;;;;;;;;;;1;;;;
25/02/2010;23:38:00;48;com vítima;136,6;BR-116/RJ;Sul;Derrapagem;;;1;;;;;;;;;1;;;
26/02/2010;01:11:00;2;sem vítima;141,2;BR-116/RJ;Sul;Derrapagem;;;1;;;;;;;;3;;;;
26/02/2010;07:10:00;6;sem vítima;69,02;BR-116/RJ;Norte;Derrapagem;;;1;;;;;;;;1;;;;
26/02/2010;08:22:00;9;com vítima;89,5;BR-116/RJ;Sul;Derrapagem;1;;;;;;;;;;;3;;;
26/02/2010;09:01:00;12;sem vítima;17,8;BR-116/RJ;Norte;Derrapagem;1;;;;;;;;;;1;;;;
26/02/2010;10:53:00;24;com vítima;91;BR-116/RJ;Sul;Queda de moto;;;;1;;;;;;;;;1;;
26/02/2010;16:51:00;46;sem vítima;5,5;BR-116/RJ;Norte;Derrapagem;;;1;;;;;;;;1;;;;
26/02/2010;19:47:00;55;sem vítima;141,3;BR-116/RJ;Sul;Colisão traseira;;;1;;1;;;;;;2;;;;
26/02/2010;23:42:00;60;sem vítima;140,1;BR-116/RJ;Sul;Choque em defensa;1;;;;;;;;;;4;;;;
27/02/2010;00:05:00;2;com vítima;94,02;BR-116/RJ;Sul;Derrapagem;1;;;;;;;;;;;2;;;
27/02/2010;07:23:00;12;com vítima;7,5;BR-116/RJ;Sul;Abalroamento longitudinal;1;;;;1;;;;;;28;2;2;;
27/02/2010;09:35:00;23;com vítima;63,1;BR-116/RJ;Sul;Derrapagem;1;;;;;;;;;;;1;;;
27/02/2010;09:55:00;24;com vítima;125,9;BR-116/RJ;Norte;Choque em objeto fixo;1;;;;;;;;;;2;1;;;
27/02/2010;12:15:00;31;com vítima;1,7;BR-116/RJ;Norte;Derrapagem;;;1;;;;;;;;;2;;;
27/02/2010;19:12:00;51;com vítima;49,6;BR-116/RJ;Sul;Colisão frontal;;;1;1;;;;;;;1;;;;1
27/02/2010;20:00:00;52;com vítima;105,9;BR-116/RJ;Norte;Queda de moto;;;;1;;;;;;;;2;;;
28/02/2010;02:26:00;1;sem vítima;117,9;BR-116/RJ;Sul;Derrapagem;1;;;;;;;;;;1;;;;
28/02/2010;03:29:00;3;com vítima;68,6;BR-116/RJ;Sul;Derrapagem;1;;;;;;;;;;;;1;;
28/02/2010;12:37:00;19;com vítima;105,9;BR-116/RJ;Norte;Queda de moto;;;;1;;;;;;;;;1;;
28/02/2010;18:52:00;38;com vítima;107,1;BR-116/RJ;Sul;Abalroamento transversal;1;;;1;;;;;;;1;1;;;
28/02/2010;16:15:00;32;com vítima;29,1;BR-116/RJ;Sul;Derrapagem;1;;;;;;;;;;;1;;;
01/03/2010;06:33:00;9;com vítima;97,1;BR-116/RJ;Norte;Colisão frontal;1;;1;;;;;;;;;;4;;
01/03/2010;10:10:00;12;com vítima;62,5;BR-116/RJ;Sul;Derrapagem;1;;;;;;;;;;;1;;;
01/03/2010;11:37:00;18;com vítima;57,4;BR-116/RJ;Norte;Derrapagem;1;;;;;;;;;;;;2;;
01/03/2010;11:46:00;20;com vítima;9,8;BR-116/RJ;Norte;Choque em objeto fixo;1;;;;;;;;;;;1;;;
01/03/2010;11:54:00;21;com vítima;103,7;BR-116/RJ;Norte;Abalroamento longitudinal;;;1;;1;;;;;;1;1;;;
01/03/2010;13:50:00;22;com vítima;123,8;BR-116/RJ;Norte;Derrapagem;1;;;;;;;;;;;1;;;
01/03/2010;13:57:00;23;com vítima;118,95;BR-116/RJ;Norte;Derrapagem;1;;;;;;;;;;;;4;;
